Gene stable ID,Gene stable ID version,HGNC symbol
ENSG00000110799,ENSG00000110799.14,VWF
ENSG00000110848,ENSG00000110848.8,CD69
ENSG00000110852,ENSG00000110852.5,CLEC2B
ENSG00000110876,ENSG00000110876.11,SELPLG
ENSG00000110944,ENSG00000110944.9,IL23A
ENSG00000110958,ENSG00000110958.16,PTGES3
ENSG00000111012,ENSG00000111012.12,CYP27B1
ENSG00000111144,ENSG00000111144.10,LTA4H
ENSG00000111186,ENSG00000111186.13,WNT5B
ENSG00000111241,ENSG00000111241.3,FGF6
ENSG00000111321,ENSG00000111321.11,LTBR
ENSG00000111424,ENSG00000111424.12,VDR
ENSG00000111432,ENSG00000111432.5,FZD10
ENSG00000111536,ENSG00000111536.5,IL26
ENSG00000111537,ENSG00000111537.5,IFNG
ENSG00000111664,ENSG00000111664.11,GNB3
ENSG00000111796,ENSG00000111796.4,KLRB1
ENSG00000111971,ENSG00000111971.14,LY6G5C
ENSG00000112038,ENSG00000112038.18,OPRM1
ENSG00000112041,ENSG00000112041.13,TULP1
ENSG00000112077,ENSG00000112077.18,RHAG
ENSG00000112115,ENSG00000112115.7,IL17A
ENSG00000112116,ENSG00000112116.11,IL17F
ENSG00000112164,ENSG00000112164.6,GLP1R
ENSG00000112175,ENSG00000112175.8,BMP5
ENSG00000112195,ENSG00000112195.9,TREML2
ENSG00000112280,ENSG00000112280.18,COL9A1
ENSG00000112414,ENSG00000112414.15,ADGRG6
ENSG00000112486,ENSG00000112486.18,CCR6
ENSG00000112599,ENSG00000112599.9,GUCA1B
ENSG00000112715,ENSG00000112715.26,VEGFA
ENSG00000112769,ENSG00000112769.20,LAMA4
ENSG00000112799,ENSG00000112799.9,LY86
ENSG00000112902,ENSG00000112902.12,SEMA5A
ENSG00000112964,ENSG00000112964.14,GHR
ENSG00000113070,ENSG00000113070.8,HBEGF
ENSG00000113140,ENSG00000113140.11,SPARC
ENSG00000113296,ENSG00000113296.14,THBS4
ENSG00000113302,ENSG00000113302.6,IL12B
ENSG00000113361,ENSG00000113361.13,CDH6
ENSG00000113389,ENSG00000113389.16,NPR3
ENSG00000113494,ENSG00000113494.17,PRLR
ENSG00000113520,ENSG00000113520.11,IL4
ENSG00000113525,ENSG00000113525.10,IL5
ENSG00000113578,ENSG00000113578.18,FGF1
ENSG00000113580,ENSG00000113580.15,NR3C1
ENSG00000113594,ENSG00000113594.10,LIFR
ENSG00000113721,ENSG00000113721.14,PDGFRB
ENSG00000113749,ENSG00000113749.8,HRH2
ENSG00000113763,ENSG00000113763.12,UNC5A
ENSG00000113889,ENSG00000113889.14,KNG1
ENSG00000113905,ENSG00000113905.5,HRG
ENSG00000114013,ENSG00000114013.16,CD86
ENSG00000114251,ENSG00000114251.15,WNT5A
ENSG00000114270,ENSG00000114270.18,COL7A1
ENSG00000114279,ENSG00000114279.15,FGF12
ENSG00000114353,ENSG00000114353.17,GNAI2
ENSG00000114554,ENSG00000114554.12,PLXNA1
ENSG00000114631,ENSG00000114631.11,PODXL2
ENSG00000114698,ENSG00000114698.15,PLSCR4
ENSG00000114739,ENSG00000114739.14,ACVR2B
ENSG00000114812,ENSG00000114812.13,VIPR1
ENSG00000114948,ENSG00000114948.13,ADAM23
ENSG00000115008,ENSG00000115008.6,IL1A
ENSG00000115009,ENSG00000115009.13,CCL20
ENSG00000115138,ENSG00000115138.11,POMC
ENSG00000115170,ENSG00000115170.16,ACVR1
ENSG00000115221,ENSG00000115221.13,ITGB6
ENSG00000115232,ENSG00000115232.14,ITGA4
ENSG00000115252,ENSG00000115252.19,PDE1A
ENSG00000115263,ENSG00000115263.15,GCG
ENSG00000115310,ENSG00000115310.19,RTN4
ENSG00000115353,ENSG00000115353.11,TACR1
ENSG00000115380,ENSG00000115380.20,EFEMP1
ENSG00000115414,ENSG00000115414.21,FN1
ENSG00000115457,ENSG00000115457.10,IGFBP2
ENSG00000115461,ENSG00000115461.5,IGFBP5
ENSG00000115590,ENSG00000115590.14,IL1R2
ENSG00000115594,ENSG00000115594.12,IL1R1
ENSG00000115596,ENSG00000115596.4,WNT6
ENSG00000115598,ENSG00000115598.10,IL1RL2
ENSG00000115602,ENSG00000115602.17,IL1RL1
ENSG00000115604,ENSG00000115604.12,IL18R1
ENSG00000115607,ENSG00000115607.10,IL18RAP
ENSG00000115718,ENSG00000115718.18,PROC
ENSG00000115884,ENSG00000115884.11,SDC1
ENSG00000116014,ENSG00000116014.10,KISS1R
ENSG00000116106,ENSG00000116106.12,EPHA4
ENSG00000116133,ENSG00000116133.13,DHCR24
ENSG00000116147,ENSG00000116147.19,TNR
ENSG00000116194,ENSG00000116194.13,ANGPTL1
ENSG00000116329,ENSG00000116329.12,OPRD1
ENSG00000116678,ENSG00000116678.20,LEPR
ENSG00000116815,ENSG00000116815.16,CD58
ENSG00000116824,ENSG00000116824.5,CD2
ENSG00000116962,ENSG00000116962.15,NID1
ENSG00000116985,ENSG00000116985.12,BMP8B
ENSG00000117000,ENSG00000117000.9,RLF
ENSG00000117091,ENSG00000117091.10,CD48
ENSG00000117114,ENSG00000117114.21,ADGRL2
ENSG00000117122,ENSG00000117122.14,MFAP2
ENSG00000117322,ENSG00000117322.19,CR2
ENSG00000117335,ENSG00000117335.21,CD46
ENSG00000117400,ENSG00000117400.18,MPL
ENSG00000117407,ENSG00000117407.17,ARTN
ENSG00000117425,ENSG00000117425.15,PTCH2
ENSG00000117472,ENSG00000117472.10,TSPAN1
ENSG00000117525,ENSG00000117525.14,F3
ENSG00000117560,ENSG00000117560.8,FASLG
ENSG00000117586,ENSG00000117586.12,TNFSF4
ENSG00000117601,ENSG00000117601.15,SERPINC1
ENSG00000117971,ENSG00000117971.12,CHRNB4
ENSG00000118137,ENSG00000118137.10,APOA1
ENSG00000118257,ENSG00000118257.17,NRP2
ENSG00000118432,ENSG00000118432.13,CNR1
ENSG00000118523,ENSG00000118523.6,CCN2
ENSG00000118702,ENSG00000118702.11,GHRH
ENSG00000118785,ENSG00000118785.15,SPP1
ENSG00000118972,ENSG00000118972.3,FGF23
ENSG00000119535,ENSG00000119535.20,CSF3R
ENSG00000119630,ENSG00000119630.14,PGF
ENSG00000119699,ENSG00000119699.8,TGFB3
ENSG00000119737,ENSG00000119737.6,GPR75
ENSG00000119973,ENSG00000119973.6,PRLHR
ENSG00000120057,ENSG00000120057.5,SFRP5
ENSG00000120088,ENSG00000120088.16,CRHR1
ENSG00000120156,ENSG00000120156.22,TEK
ENSG00000120217,ENSG00000120217.14,CD274
ENSG00000120235,ENSG00000120235.5,IFNA6
ENSG00000120242,ENSG00000120242.4,IFNA8
ENSG00000120256,ENSG00000120256.11,LRP11
ENSG00000120332,ENSG00000120332.17,TNN
ENSG00000120337,ENSG00000120337.10,TNFSF18
ENSG00000120659,ENSG00000120659.16,TNFSF11
ENSG00000120889,ENSG00000120889.13,TNFRSF10B
ENSG00000120903,ENSG00000120903.13,CHRNA2
ENSG00000120907,ENSG00000120907.18,ADRA1A
ENSG00000120937,ENSG00000120937.9,NPPB
ENSG00000120949,ENSG00000120949.15,TNFRSF8
ENSG00000121281,ENSG00000121281.13,ADCY7
ENSG00000121351,ENSG00000121351.8,IAPP
ENSG00000121594,ENSG00000121594.12,CD80
ENSG00000121753,ENSG00000121753.13,ADGRB2
ENSG00000121764,ENSG00000121764.12,HCRTR1
ENSG00000121797,ENSG00000121797.10,CCRL2
ENSG00000121807,ENSG00000121807.7,CCR2
ENSG00000121853,ENSG00000121853.4,GHSR
ENSG00000121858,ENSG00000121858.11,TNFSF10
ENSG00000121871,ENSG00000121871.4,SLITRK3
ENSG00000121966,ENSG00000121966.8,CXCR4
ENSG00000121989,ENSG00000121989.15,ACVR2A
ENSG00000122012,ENSG00000122012.14,SV2C
ENSG00000122025,ENSG00000122025.15,FLT3
ENSG00000122136,ENSG00000122136.14,OBP2A
ENSG00000122176,ENSG00000122176.12,FMOD
ENSG00000122194,ENSG00000122194.20,PLG
ENSG00000122223,ENSG00000122223.13,CD244
ENSG00000122420,ENSG00000122420.10,PTGFR
ENSG00000122584,ENSG00000122584.13,NXPH1
ENSG00000122585,ENSG00000122585.8,NPY
ENSG00000122641,ENSG00000122641.11,INHBA
ENSG00000122679,ENSG00000122679.8,RAMP3
ENSG00000122756,ENSG00000122756.15,CNTFR
ENSG00000122787,ENSG00000122787.15,AKR1D1
ENSG00000122852,ENSG00000122852.15,SFTPA1
ENSG00000122861,ENSG00000122861.16,PLAU
ENSG00000123146,ENSG00000123146.20,ADGRE5
ENSG00000123360,ENSG00000123360.12,PDE1B
ENSG00000123384,ENSG00000123384.14,LRP1
ENSG00000123454,ENSG00000123454.12,DBH
ENSG00000123496,ENSG00000123496.8,IL13RA2
ENSG00000123561,ENSG00000123561.15,SERPINA7
ENSG00000123612,ENSG00000123612.16,ACVR1C
ENSG00000123838,ENSG00000123838.11,C4BPA
ENSG00000123901,ENSG00000123901.9,GPR83
ENSG00000123999,ENSG00000123999.5,INHA
ENSG00000124089,ENSG00000124089.4,MC3R
ENSG00000124102,ENSG00000124102.5,PI3
ENSG00000124107,ENSG00000124107.5,SLPI
ENSG00000124145,ENSG00000124145.6,SDC4
ENSG00000124205,ENSG00000124205.18,EDN3
ENSG00000124212,ENSG00000124212.6,PTGIS
ENSG00000124334,ENSG00000124334.19,IL9R
ENSG00000124391,ENSG00000124391.5,IL17C
ENSG00000124466,ENSG00000124466.9,LYPD3
ENSG00000124479,ENSG00000124479.11,NDP
ENSG00000124491,ENSG00000124491.16,F13A1
ENSG00000124493,ENSG00000124493.14,GRM4
ENSG00000124875,ENSG00000124875.10,CXCL6
ENSG00000124882,ENSG00000124882.4,EREG
ENSG00000125084,ENSG00000125084.13,WNT1
ENSG00000125266,ENSG00000125266.8,EFNB2
ENSG00000125363,ENSG00000125363.14,AMELX
ENSG00000125378,ENSG00000125378.16,BMP4
ENSG00000125384,ENSG00000125384.8,PTGER2
ENSG00000125498,ENSG00000125498.20,KIR2DL1
ENSG00000125510,ENSG00000125510.18,OPRL1
ENSG00000125522,ENSG00000125522.4,NPBWR2
ENSG00000125538,ENSG00000125538.12,IL1B
ENSG00000125571,ENSG00000125571.10,IL37
ENSG00000125650,ENSG00000125650.5,PSPN
ENSG00000125657,ENSG00000125657.5,TNFSF9
ENSG00000125726,ENSG00000125726.11,CD70
ENSG00000125730,ENSG00000125730.18,C3
ENSG00000125735,ENSG00000125735.12,TNFSF14
ENSG00000125753,ENSG00000125753.15,VASP
ENSG00000125787,ENSG00000125787.11,GNRH2
ENSG00000125810,ENSG00000125810.11,CD93
ENSG00000125845,ENSG00000125845.7,BMP2
ENSG00000125848,ENSG00000125848.10,FLRT3
ENSG00000125861,ENSG00000125861.16,GFRA4
ENSG00000125910,ENSG00000125910.6,S1PR4
ENSG00000125965,ENSG00000125965.9,GDF5
ENSG00000125966,ENSG00000125966.10,MMP24
ENSG00000126010,ENSG00000126010.6,GRPR
ENSG00000126218,ENSG00000126218.12,F10
ENSG00000126233,ENSG00000126233.2,SLURP1
ENSG00000126246,ENSG00000126246.10,IGFLR1
ENSG00000126353,ENSG00000126353.4,CCR7
ENSG00000126500,ENSG00000126500.5,FLRT1
ENSG00000126861,ENSG00000126861.5,OMG
ENSG00000126895,ENSG00000126895.16,AVPR2
ENSG00000127022,ENSG00000127022.16,CANX
ENSG00000127129,ENSG00000127129.10,EDN2
ENSG00000127191,ENSG00000127191.18,TRAF2
ENSG00000127318,ENSG00000127318.11,IL22
ENSG00000127329,ENSG00000127329.16,PTPRB
ENSG00000127418,ENSG00000127418.15,FGFRL1
ENSG00000127507,ENSG00000127507.18,ADGRE2
ENSG00000127533,ENSG00000127533.4,F2RL3
ENSG00000127743,ENSG00000127743.6,IL17B
ENSG00000127863,ENSG00000127863.16,TNFRSF19
ENSG00000128039,ENSG00000128039.13,SRD5A3
ENSG00000128052,ENSG00000128052.10,KDR
ENSG00000128165,ENSG00000128165.9,ADM2
ENSG00000128271,ENSG00000128271.22,ADORA2A
ENSG00000128285,ENSG00000128285.5,MCHR1
ENSG00000128310,ENSG00000128310.3,GALR3
ENSG00000128342,ENSG00000128342.5,LIF
ENSG00000128567,ENSG00000128567.17,PODXL
ENSG00000128594,ENSG00000128594.8,LRRC4
ENSG00000128602,ENSG00000128602.11,SMO
ENSG00000128683,ENSG00000128683.14,GAD1
ENSG00000128917,ENSG00000128917.8,DLL4
ENSG00000128918,ENSG00000128918.15,ALDH1A2
ENSG00000129048,ENSG00000129048.7,ACKR4
ENSG00000129167,ENSG00000129167.11,TPH1
ENSG00000129214,ENSG00000129214.15,SHBG
ENSG00000129219,ENSG00000129219.14,PLD2
ENSG00000129673,ENSG00000129673.10,AANAT
ENSG00000129682,ENSG00000129682.16,FGF13
ENSG00000129744,ENSG00000129744.3,ART1
ENSG00000129749,ENSG00000129749.3,CHRNA10
ENSG00000129925,ENSG00000129925.11,PGAP6
ENSG00000130164,ENSG00000130164.16,LDLR
ENSG00000130202,ENSG00000130202.10,NECTIN2
ENSG00000130203,ENSG00000130203.10,APOE
ENSG00000130208,ENSG00000130208.10,APOC1
ENSG00000130234,ENSG00000130234.13,ACE2
ENSG00000130283,ENSG00000130283.9,GDF1
ENSG00000130287,ENSG00000130287.14,NCAN
ENSG00000130303,ENSG00000130303.14,BST2
ENSG00000130368,ENSG00000130368.7,MAS1
ENSG00000130385,ENSG00000130385.6,BMP15
ENSG00000130396,ENSG00000130396.22,AFDN
ENSG00000130427,ENSG00000130427.3,EPO
ENSG00000130513,ENSG00000130513.7,GDF15
ENSG00000130635,ENSG00000130635.17,COL5A1
ENSG00000130702,ENSG00000130702.15,LAMA5
ENSG00000130812,ENSG00000130812.11,ANGPTL6
ENSG00000130827,ENSG00000130827.6,PLXNA3
ENSG00000130948,ENSG00000130948.10,HSD17B3
ENSG00000131015,ENSG00000131015.5,ULBP2
ENSG00000131042,ENSG00000131042.15,LILRB2
ENSG00000131080,ENSG00000131080.15,EDA2R
ENSG00000131094,ENSG00000131094.5,C1QL1
ENSG00000131096,ENSG00000131096.11,PYY
ENSG00000131142,ENSG00000131142.14,CCL25
ENSG00000131187,ENSG00000131187.11,F12
ENSG00000131323,ENSG00000131323.17,TRAF3
ENSG00000131408,ENSG00000131408.15,NR1H2
ENSG00000131409,ENSG00000131409.13,LRRC4B
ENSG00000131477,ENSG00000131477.11,RAMP2
ENSG00000131650,ENSG00000131650.15,KREMEN2
ENSG00000131724,ENSG00000131724.11,IL13RA1
ENSG00000131808,ENSG00000131808.11,FSHB
ENSG00000131981,ENSG00000131981.16,LGALS3
ENSG00000132170,ENSG00000132170.24,PPARG
ENSG00000132329,ENSG00000132329.11,RAMP1
ENSG00000132386,ENSG00000132386.11,SERPINF1
ENSG00000132437,ENSG00000132437.18,DDC
ENSG00000132470,ENSG00000132470.14,ITGB4
ENSG00000132514,ENSG00000132514.14,CLEC10A
ENSG00000132518,ENSG00000132518.7,GUCY2D
ENSG00000132670,ENSG00000132670.21,PTPRA
ENSG00000132671,ENSG00000132671.6,SSTR4
ENSG00000132692,ENSG00000132692.19,BCAN
ENSG00000132693,ENSG00000132693.12,CRP
ENSG00000132855,ENSG00000132855.5,ANGPTL3
ENSG00000132911,ENSG00000132911.5,NMUR2
ENSG00000132965,ENSG00000132965.10,ALOX5AP
ENSG00000133019,ENSG00000133019.12,CHRM3
ENSG00000133067,ENSG00000133067.18,LGR6
ENSG00000133105,ENSG00000133105.8,RXFP2
ENSG00000133116,ENSG00000133116.8,KL
ENSG00000133216,ENSG00000133216.17,EPHB2
ENSG00000133636,ENSG00000133636.11,NTS
ENSG00000133661,ENSG00000133661.17,SFTPD
ENSG00000133800,ENSG00000133800.9,LYVE1
ENSG00000133935,ENSG00000133935.7,ERG28
ENSG00000134061,ENSG00000134061.5,CD180
ENSG00000134200,ENSG00000134200.4,TSHB
ENSG00000134243,ENSG00000134243.12,SORT1
ENSG00000134245,ENSG00000134245.18,WNT2B
ENSG00000134250,ENSG00000134250.21,NOTCH2
ENSG00000134258,ENSG00000134258.18,VTCN1
ENSG00000134259,ENSG00000134259.6,NGF
ENSG00000134313,ENSG00000134313.17,KIDINS220
ENSG00000134352,ENSG00000134352.21,IL6ST
ENSG00000134363,ENSG00000134363.12,FST
ENSG00000134443,ENSG00000134443.10,GRP
ENSG00000134460,ENSG00000134460.19,IL2RA
ENSG00000134470,ENSG00000134470.21,IL15RA
ENSG00000134489,ENSG00000134489.7,HRH4
ENSG00000134539,ENSG00000134539.17,KLRD1
ENSG00000134545,ENSG00000134545.14,KLRC1
ENSG00000134569,ENSG00000134569.10,LRP4
ENSG00000134640,ENSG00000134640.3,MTNR1B
ENSG00000134684,ENSG00000134684.13,YARS1
ENSG00000134780,ENSG00000134780.10,DAGLA
ENSG00000134817,ENSG00000134817.12,APLNR
ENSG00000134830,ENSG00000134830.6,C5AR2
ENSG00000134853,ENSG00000134853.12,PDGFRA
ENSG00000134871,ENSG00000134871.20,COL4A2
ENSG00000134962,ENSG00000134962.7,KLB
ENSG00000135046,ENSG00000135046.15,ANXA1
ENSG00000135077,ENSG00000135077.10,HAVCR2
ENSG00000135218,ENSG00000135218.19,CD36
ENSG00000135298,ENSG00000135298.15,ADGRB3
ENSG00000135312,ENSG00000135312.7,HTR1B
ENSG00000135318,ENSG00000135318.12,NT5E
ENSG00000135333,ENSG00000135333.15,EPHA7
ENSG00000135346,ENSG00000135346.9,CGA
ENSG00000135372,ENSG00000135372.10,NAT10
ENSG00000135404,ENSG00000135404.12,CD63
ENSG00000135409,ENSG00000135409.11,AMHR2
ENSG00000135413,ENSG00000135413.9,LACRT
ENSG00000135414,ENSG00000135414.10,GDF11
ENSG00000135424,ENSG00000135424.19,ITGA7
ENSG00000135503,ENSG00000135503.13,ACVR1B
ENSG00000135517,ENSG00000135517.9,MIP
ENSG00000135577,ENSG00000135577.5,NMBR
ENSG00000135622,ENSG00000135622.14,SEMA4F
ENSG00000135636,ENSG00000135636.16,DYSF
ENSG00000135744,ENSG00000135744.9,AGT
ENSG00000135862,ENSG00000135862.6,LAMC1
ENSG00000135898,ENSG00000135898.10,GPR55
ENSG00000135902,ENSG00000135902.10,CHRND
ENSG00000135914,ENSG00000135914.6,HTR2B
ENSG00000135919,ENSG00000135919.14,SERPINE2
ENSG00000135925,ENSG00000135925.9,WNT10A
ENSG00000135960,ENSG00000135960.10,EDAR
ENSG00000136040,ENSG00000136040.9,PLXNC1
ENSG00000136160,ENSG00000136160.17,EDNRB
ENSG00000136244,ENSG00000136244.12,IL6
ENSG00000136457,ENSG00000136457.10,CHAD
ENSG00000136487,ENSG00000136487.18,GH2
ENSG00000136488,ENSG00000136488.15,CSH1
ENSG00000136634,ENSG00000136634.7,IL10
ENSG00000136688,ENSG00000136688.11,IL36G
ENSG00000136689,ENSG00000136689.20,IL1RN
ENSG00000136694,ENSG00000136694.9,IL36A
ENSG00000136695,ENSG00000136695.15,IL36RN
ENSG00000136696,ENSG00000136696.11,IL36B
ENSG00000136697,ENSG00000136697.13,IL1F10
ENSG00000136698,ENSG00000136698.10,CFC1
ENSG00000136859,ENSG00000136859.10,ANGPTL2
ENSG00000136869,ENSG00000136869.16,TLR4
ENSG00000136928,ENSG00000136928.7,GABBR2
ENSG00000136938,ENSG00000136938.9,ANP32B
ENSG00000136999,ENSG00000136999.5,CCN3
ENSG00000137033,ENSG00000137033.12,IL33
ENSG00000137070,ENSG00000137070.19,IL11RA
ENSG00000137076,ENSG00000137076.22,TLN1
ENSG00000137077,ENSG00000137077.9,CCL21
ENSG00000137080,ENSG00000137080.4,IFNA21
ENSG00000137101,ENSG00000137101.14,CD72
ENSG00000137252,ENSG00000137252.10,HCRTR2
ENSG00000137275,ENSG00000137275.16,RIPK1
ENSG00000137332,ENSG00000137332.19,DDR1
ENSG00000137345,ENSG00000137345.19,MOG
ENSG00000137403,ENSG00000137403.19,HLA-F
ENSG00000137462,ENSG00000137462.10,TLR2
ENSG00000137496,ENSG00000137496.19,IL18BP
ENSG00000137574,ENSG00000137574.11,TGS1
ENSG00000137642,ENSG00000137642.13,SORL1
